"Gene name","Position in dataset","Root-tip var.","Saturation","Missing data","Evolutionary rate","Tree length","Treeness","Av patristic dist.","Comp. heterogeneity","Alignment length","Occupancy","Prop. variable sites","Av. boostrap support","RF similarity","PC1","PC2"
"OG0000879_pruned.fasta.filtered.mafft",479,4.36680488000032e-13,0.493247838585566,0.0298387096774194,0.00041253224,0.0020626612,0.0016174251011265,0.00082573172,0.0178430358051124,496,0.125,0.00201612903225812,35,0,-7.5710827927732,4.20120475991777
"OG0000154_pruned.fasta.filtered.mafft",86,0.000152522133121215,0.356287064649046,0.0155373327578766,0.0127853794285714,0.178995312,0.475844810952367,0.0415855434604396,0.0291948243644494,331,0.35,0.102719033232628,57,0,-7.56130885591363,2.689052931169
"OG0000043_pruned.fasta.filtered.mafft",27,2.83875745476703e-12,0.863098789441957,0.0144557823129252,0.0135382104142857,0.0947674729,4.39433475701856e-05,0.027077412352381,0.0190553021213589,336,0.175,0.0267857142857143,35.5,0,-5.51853700681304,3.74789930436185
"OG0000055_pruned.fasta.filtered.mafft",34,0.00054393139637229,0.393147356781529,0.0505820399113082,0.0200741241875,0.321185987,0.128433239834962,0.0476832322908333,0.0428246538562724,451,0.4,0.168514412416851,45.8461538461538,0,-7.00140576538292,3.41079750571892
"OG0001016_pruned.fasta.filtered.mafft",549,0.000127587657590567,0.692797193719787,0.18023008095441,0.0226213995714286,0.158349797,0.5287446405757,0.0637956579904762,0.0404177626065852,2347,0.175,0.072006817213464,67.25,0,-5.63970179696379,1.63960747123231
"OG0001252_pruned.fasta.filtered.mafft",666,0.000671370406789448,0.367423075618557,0.132827146606674,0.0335751994095238,0.7050791876,0.168275040997679,0.0857045274628571,0.0649454512667993,508,0.525,0.279527559055118,70.8888888888889,0,-6.18158903559792,1.57191613757723
"OG0001273_pruned.fasta.filtered.mafft",677,0.00152347373989141,0.455543406879019,0.0817932922655715,0.0362593699333333,0.4351124392,0.246479011717484,0.0989000128515151,0.0517894236959414,487,0.3,0.188911704312115,81.8888888888889,0,-6.15413875013686,0.749124339911332
"OG0001137_pruned.fasta.filtered.mafft",601,0.000328611796992515,0.360953445500024,0.078551912568306,0.0390555685416667,0.4686668225,0.521895748445048,0.14005103749697,0.0621550004597249,488,0.3,0.225409836065574,89.2222222222222,0,-6.27008459081105,0.29641050271905
"OG0000983_pruned.fasta.filtered.mafft",532,0.000753743621704831,0.421504567766972,0.0873165618448637,0.039690823355,0.7938164671,0.127402101482558,0.100936647577368,0.0544988447830527,477,0.5,0.266247379454927,68.5882352941177,0,-6.12131448458799,1.67101505909911
"OG0003465_pruned.fasta.filtered.mafft",1843,0.000372567917596324,0.547628801155986,0.00106157112526539,0.0426789949,0.2560739694,0.307985744450291,0.101502192653333,0.0381389645703696,314,0.15,0.124203821656051,73.6666666666667,0,-6.17855563738648,1.27436748632728
